time	Pu1	Gata1
24300.0656853	16.532953217	25.0517151006
24350.0398913	16.7803812762	24.3316078052
24400.0109382	15.8378250989	24.6406738333
24450.1065768	15.2308800761	24.2959198335
24500.0021443	15.0614759925	25.7463608721
24550.0028075	15.7521490404	24.4611284906
24600.0225523	15.9094985035	24.8926978223
24650.0004628	17.3784327183	23.4052198176
24700.0781567	16.399652598	23.6353591472
24750.0143903	16.537954662	24.5662345949
24800.0502247	16.8894211061	24.304539505
24850.1000619	16.2394949387	24.2872201719
24900.0298809	17.2774829036	24.3226014316
24950.0115653	17.9127913405	21.4810940603
25000.0259534	17.6712567595	22.0321216184
25050.0174835	19.2442591118	20.5410427386
25100.0096854	18.0954919863	22.0381548024
25150.0758191	18.6236325693	20.6579273801
25200.0289635	19.0861786509	21.5073694566
25250.0250588	19.3436022406	20.0152395555
25300.0099346	19.0318888002	20.831762818
25350.0297374	18.9753413047	20.5538918753
25400.0158839	19.0755379259	20.9809351638
25450.0346024	17.9456469392	19.6187473675
25500.0494846	19.4369349726	19.6014344742
25550.0245498	20.5982403738	18.038312589
25600.0137739	20.4085483929	19.6623607378
25650.0006419	20.8429271725	18.3320840969
25700.023325	21.3520897298	19.4625839717
25750.0548841	22.0963119092	19.3032772747
25800.0132465	21.132670348	18.183577513
25850.0111443	22.3669462724	18.4934263612
25900.0102845	21.6687970464	19.0612234242
25950.027382	20.8181684148	19.5228722598
26000.0049079	20.1089529053	19.0876060704
26050.0173289	21.1688278108	18.3000387899
26100.0599666	21.1960195567	16.8957062509
26150.0345026	22.9077429212	16.6634190478
26200.0742145	22.0541433338	16.9263459136
26250.0289051	22.0128622615	18.1219107239
26300.027467	22.5836692068	17.3038592362
26350.0501353	24.2421491227	16.8174691495
26400.0301012	25.4983596112	17.0494122122
26450.0026947	24.9579914746	17.1590128238
26500.0208995	23.9617786974	16.2850947538
26550.0234996	24.6737235243	16.2005331931
26600.0106546	23.6159810913	15.4824758078
26650.0042355	22.8910902965	15.7296771455
26700.0110835	23.5252976733	16.7517045612
26750.0251967	25.148326983	15.0857980176
26800.0349208	24.5233427967	16.4905553078
26850.1140262	23.7631648853	16.4834465798
26900.0026129	24.8388047329	16.2198790261
26950.0001402	26.3164587036	14.4388859719
27000.0015863	26.5697533393	15.070525923
27050.0085494	26.6249181271	14.1323225292
27100.0038105	27.0924690147	14.6313701131
27150.0010915	24.8720229726	15.6571331357
27200.0323093	26.2969521635	15.1327520785
27250.0017403	27.9526735698	13.8347454919
27300.0037083	27.6387739923	14.1784958365
27350.0084947	27.0455819476	13.1477886996
27400.0252947	27.2602196501	11.7369348741
27450.0069243	29.8268864068	12.9699871906
27500.0261061	27.7118693553	12.2906378118
27550.0002225	27.712919687	13.1431204305
27600.0153683	28.6216693302	13.0893670175
27650.0662415	28.2292875084	12.6063276666
27700.0595164	29.0415179712	12.1342196965
27750.0663032	29.8306082783	14.1494024219
27800.0103668	28.5997683263	13.7857557222
27850.0203022	27.6679789461	14.279659402
27900.0277849	28.153603567	13.8331116411
27950.0373305	26.9382086244	13.8168095851
28000.0240975	24.5176037729	16.0046513261
28050.0159351	24.9625026906	15.6339642738
28100.0362642	27.8083141894	15.0581055217
28150.0187107	26.8546815114	15.4915454748
28200.0067013	27.9661249313	13.3244080807
28250.0233435	28.5839208708	13.5658622469
28300.0013247	27.670662012	12.9003526094
28350.0042743	28.1909226594	14.1464369835
28400.0284656	25.9452649973	14.011932523
28450.0272254	26.843917323	14.3242737343
28500.0068001	26.2472036302	14.9154245276
28550.0112744	25.1368175939	15.9470116999
28600.0048335	24.7500042989	15.820252214
28650.0058384	24.9260416599	16.2216650067
28700.0117465	24.6797432704	16.2454790048
28750.006826	23.5564706473	16.1325005737
28800.087286	22.7357847086	16.5667608815
28850.005621	23.3220805822	16.0464801284
28900.009626	23.1031429822	16.9057115198
28950.0465241	22.6856818075	18.2047777978
29000.0050156	23.6574689593	16.1406811484
29050.0069368	21.7907613591	17.562147732
29100.0279901	22.4557416987	18.7115711898
29150.0188585	21.9355449319	19.0827342194
29200.0062668	19.9726251457	20.4548538146
29250.0126373	21.2074282867	19.1322767242
29300.0039897	20.8629812963	18.8296385515
29350.0124482	20.9254614889	17.422077858
29400.0092949	21.7012158529	17.9243455192
29450.0336266	21.198577566	19.1175021998
29500.0214236	18.8968368441	21.3378520077
29550.0472483	19.1647661826	20.9266229911
29600.0297479	18.2533381169	21.3666351015
29650.0080183	17.8706875482	22.4963754947
29700.0065283	18.3622684715	24.1596018868
29750.017549	17.1980967697	22.0540682005
29800.0027474	18.4391408391	24.3218027042
29850.003884	17.4749509192	22.7111849761
29900.0227653	17.9703174159	21.8415062442
29950.0087326	17.9575009779	22.5393956261
30000.0281504	17.5286230065	22.0934265623
30050.0128831	17.228763057	22.5535195217
30100.0089354	17.7243118774	21.0655423333
30150.0305747	18.0771311356	21.0299986875
30200.0133226	17.8180095408	20.101474092
30250.0933647	16.7404363358	20.6866332008
30300.003586	16.3898658571	22.1072755695
30350.0071572	16.7996710173	21.5890859658
30400.0081011	17.9478544384	21.6104454782
30450.0551926	18.2788994183	22.6313582482
30500.0036038	17.9457245665	21.1355694091
30550.0189791	19.2519248258	21.3853381051
30600.0335674	18.5500528907	21.0255769032
30650.0307416	17.829089725	21.2750577097
30700.0089068	17.9111977931	21.6519085339
30750.0205575	16.4227889102	22.1831356415
30800.0180408	15.4404658102	23.9490193163
30850.0092013	15.9957376908	23.9649041381
30900.0145956	16.3267481108	24.8882642395
30950.0314963	17.7182081735	23.8639538605
31000.0104833	18.5334332594	21.9285021211
31050.0009845	16.3087886252	22.6927867326
31100.0154562	16.0077554633	22.2719023365
31150.0184452	16.480160482	21.940667135
31200.0298568	17.0543903897	25.0143813767
31250.0020678	16.118277952	23.964617552
31300.0148004	17.0373966751	23.8112422055
31350.0316324	15.940990503	24.2026016573
31400.0351678	16.7024969451	23.6600426617
31450.0465054	16.8294210707	23.0983415467
31500.0512121	15.4455570468	24.3880472716
31550.0336869	16.2374105167	24.825640075
31600.0057207	16.2147998135	24.8623823264
31650.0278004	16.6084506774	23.8904094096
31700.0221377	15.9656263495	24.9551093631
31750.0007604	16.3982202924	24.6700746228
31800.0338008	16.8734616162	24.7098421752
31850.0030284	17.1081987959	23.7783234859
31900.0068913	18.4852802606	21.1362959924
31950.0011377	18.5469404183	21.1358882531
32000.0070622	20.3751186103	21.3881560757
32050.0161829	19.601180619	19.76781157
32100.0230483	19.3178263016	20.1568521578
32150.0279943	18.5904831489	22.3377883522
32200.0013914	16.9190948277	20.8208128982
32250.0333163	18.0384196748	23.0093344099
32300.0242481	17.4858411112	22.4346648941
32350.0125106	18.0931006768	22.1314528829
32400.018374	18.7250900449	20.8807335697
32450.014165	19.2496038708	21.0157592681
32500.0025921	18.219674624	21.177273985
32550.0072689	18.4219551023	22.5771187649
32600.0094679	18.5640304451	22.6653677527
32650.02376	18.1269899655	23.0816624027
32700.005892	17.7895641587	24.0215832863
32750.0444798	17.8733843334	22.4978085618
32800.0580006	18.6007696763	23.1381277078
32850.0192873	18.9475142945	22.2860287004
32900.0186868	18.2109434308	22.794871219
32950.0128418	17.6014018846	22.8524882562
33000.019849	16.8785094017	23.8496215526
33050.0210668	15.7030344876	24.0306934547
33100.0672504	15.9940545106	24.3672609327
33150.0143883	16.5868762854	23.5987872683
33200.000514	16.9780906743	23.6316472987
33250.0616274	16.2254352585	23.7469849575
33300.0287992	16.3394309814	24.042602408
33350.0212817	16.2049411279	24.6798745695
33400.0786651	15.4827193526	23.3810164184
33450.0076935	16.0928185005	24.0436666322
33500.0135136	16.4133415394	24.8934612811
33550.0123137	15.7417310681	26.2612364
33600.0142558	14.5380891588	24.4593853905
33650.0161439	14.7447054282	26.3168572792
